title,course,specializations,professional certificates,guided project,none,OL Passes 0,OL Passes 5,OL Passes 9,AL Passes 0,AL Passes 3,duration,category_Business Essentials,category_Cloud Computing,category_Computer Security and Networks,category_Data Analysis,category_Design and Product,category_Environmental Science and Sustainability,category_Machine Learning,category_Math and Logic,category_Networking,category_Physics and Astronomy,category_Support and Operations,category_other_category,level_Advanced Level,level_Beginner Level,level_Intermediate Level,level_None
204,0,0,1,0,0,1,0,0,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
205,1,0,0,0,0,0,0,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,1,0,0,0,0,1,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,1,0,0,0,0,0,1,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
208,1,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
209,1,0,0,0,0,1,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,1,0,0,0,0,1,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
211,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
212,1,0,0,0,0,0,0,1,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
213,0,1,0,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
214,0,0,1,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
215,1,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
216,0,1,0,0,0,0,0,1,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
217,0,1,0,0,0,1,0,0,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
218,0,0,1,0,0,1,0,0,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
219,0,0,1,0,0,0,0,1,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
220,0,0,1,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
221,0,1,0,0,0,1,0,0,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
222,0,0,1,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
223,0,1,0,0,0,1,0,0,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
224,1,0,0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
225,1,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
226,0,1,0,0,0,1,0,0,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
227,1,0,0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
228,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
